,date,location,location_name,value
15443,2020-07-30,44,Rhode Island,7
15444,2020-07-23,02,Alaska,3
15445,2020-07-30,55,Wisconsin,81
15446,2020-09-29,34,New Jersey,49
15447,2020-07-15,50,Vermont,6
15448,2020-08-14,47,Tennessee,120
15449,2020-09-11,11,District of Columbia,9
15450,2020-07-17,33,New Hampshire,1
15451,2020-08-21,48,Texas,516
15452,2020-10-04,01,Alabama,97
15453,2020-08-04,18,Indiana,67
15454,2020-08-23,05,Arkansas,46
15455,2020-07-15,19,Iowa,28
15456,2020-09-07,56,Wyoming,8
15457,2020-09-30,18,Indiana,91
15458,2020-09-23,05,Arkansas,66
15459,2020-08-05,18,Indiana,67
15460,2020-08-09,46,South Dakota,14
15461,2020-08-26,49,Utah,25
15462,2020-09-26,31,Nebraska,19
15463,2020-09-26,19,Iowa,51
15464,2020-08-02,53,Washington,29
15465,2020-09-16,56,Wyoming,5
15466,2020-07-06,28,Mississippi,0
15467,2020-07-23,29,Missouri,89
15468,2020-07-21,23,Maine,3
15469,2020-08-05,48,Texas,828
15470,2020-09-22,39,Ohio,82
15471,2020-09-27,47,Tennessee,93
15472,2020-07-24,40,Oklahoma,67
15473,2020-09-20,17,Illinois,88
15474,2020-09-19,35,New Mexico,56
15475,2020-08-04,09,Connecticut,20
15476,2020-08-08,22,Louisiana,157
15477,2020-07-29,46,South Dakota,4
15478,2020-10-04,38,North Dakota,28
15479,2020-08-01,11,District of Columbia,12
15480,2020-09-03,46,South Dakota,17
15481,2020-05-15,44,Rhode Island,0
15482,2020-07-17,09,Connecticut,7
15483,2020-07-19,72,Puerto Rico,1
15484,2020-08-10,11,District of Columbia,13
15485,2020-08-17,39,Ohio,99
15486,2020-09-29,13,Georgia,329
15487,2020-08-12,16,Idaho,20
15488,2020-09-18,15,Hawaii,26
15489,2020-09-24,20,Kansas,39
15490,2020-08-06,48,Texas,799
15491,2020-07-28,20,Kansas,30
15492,2020-10-04,47,Tennessee,126
15493,2020-07-15,29,Missouri,69
15494,2020-09-01,25,Massachusetts,28
15495,2020-09-30,46,South Dakota,40
15496,2020-07-31,47,Tennessee,134
15497,2020-08-07,19,Iowa,57
15498,2020-08-30,49,Utah,21
15499,2020-07-25,17,Illinois,82
15500,2020-08-14,10,Delaware,9
15501,2020-08-13,36,New York,75
15502,2020-08-26,13,Georgia,277
15503,2020-08-02,21,Kentucky,135
15504,2020-09-23,01,Alabama,117
15505,2020-09-02,44,Rhode Island,6
15506,2020-10-07,32,Nevada,38
15507,2020-07-18,01,Alabama,125
15508,2020-09-07,40,Oklahoma,83
15509,2020-09-04,51,Virginia,85
15510,2020-06-26,44,Rhode Island,0
